reparticion,rubro,total
Htal. Ramon Sarda,Culto,0.25
Htal. Juan A. Fernandez,Textil Confección y Calzado ,0.2448
Htal. Maria Curie,Culto,0.243
Htal. Manuel Rocca,Laboratorio para Análisis Físico y/o Químico e Instrumental de Precisión,0.24
Htal. Jose M. Penna,Perfumería Limpieza y Contenedores Comerciales e Industriales,0.236
Htal. Pedro De Elizalde,Culto,0.21283000000000002
Htal. Juan A. Fernandez,Comunicaciones,0.21
Secretaria De Ambiente,Servicios,0.2089
Plan De Seguridad  Publica,Vehículos,0.20266
Comuna 13,Perfumería Limpieza y Contenedores Comerciales e Industriales,0.19721
Htal. Abel Zubizarreta,Equipamiento para Oficina,0.1869
Htal. Abel Zubizarreta,Perfumería Limpieza y Contenedores Comerciales e Industriales,0.179
Ente Autarquico Teatro Colon,Servicios,0.178
Dir.Gral.Patrimonio Museos Y Casco Historico,Construcción ,0.168
Agencia Gubernamental De Control,Promoción y Publicidad ,0.16175
Htal.Teodoro Alvarez,Informática ,0.16035
Htal. Maria Curie,Construcción ,0.14842
Instituto Pasteur,Laboratorio para Análisis Físico y/o Químico e Instrumental de Precisión,0.14625
Htal. Jose M. Penna,Ferretería,0.13498000000000002
Htal.Teodoro Alvarez,Culto,0.133
Htal.De Odontologia,Ferretería,0.11944
Dir. Gral Centro Cultural Recoleta,Perfumería Limpieza y Contenedores Comerciales e Industriales,0.1149
Htal.Donacion Francisco Santojanni,Máquinas y Herramientas,0.1088
Instituto Pasteur,Seguridad ,0.1068
Htal. Cosme Argerich,Alimentación y Gastronomía,0.099825
Htal. Bernardino Rivadavia,Vehículos,0.0975
Htal. Jose M. Penna,Vehículos,0.092
Dir. Gral De Ensenanza Artistica,Salud,0.084
Htal. Jose M. Penna,Culto,0.08118
Htal. Jose T. Borda,Alimentación y Gastronomía,0.056011000000000005
Direccion General De Estadisticas Y Censos,Cultura Deporte y Recreación,0.0546
Htal. Francisco J.Muñiz,Laboratorio para Análisis Físico y/o Químico e Instrumental de Precisión,0.05192
Ministerio De Desarrollo Económico Y Producción,Comunicaciones,0.051
Htal. Jose M. Penna,Alimentación y Gastronomía,0.04344150000000001
Htal.De Odontologia,Perfumería Limpieza y Contenedores Comerciales e Industriales,0.03358
Htal. Parmenio Piñero,Reservado para GCBA ,0.01792
Htal. Abel Zubizarreta,Informática ,0.0165
Ministerio De Educacion,Agricultura Ganadería y Espacios Verdes,0.0147
Htal. Abel Zubizarreta,Reservado para GCBA ,0.013127999999999999
Htal. Dalmacio Velez Sarsfield,Laboratorio para Análisis Físico y/o Químico e Instrumental de Precisión,0.01116
Htal. Juan A. Fernandez,Informática ,0.009
Htal.De Odontologia,Máquinas y Herramientas,0.004356
Talleres Protegidos De Rehab.Psiquiat.,Ferretería,0.001531
